Aff,Neg,Judges,Votes,Result
Missouri State KR,Central Oklahoma CH,"Pablo Gannon																																		Lindsey Shook																																		Squid Monteith","Aff																												Neg																												Neg","2-1																															NEG"
Minnesota FM,James Madison HS,"Brent Lamb																																		Alaina Walberg																																		Samuel Maurer","Aff																												Aff																												Aff","3-0																															AFF"
Michigan HS,,,,
Georgia MW,,,,
Liberty WW,,,,
Wichita State BM,,,,
Pittsburgh OM,,,,
Southwestern GA,,,,
Kansas SP,,,,
Gonzaga HM,,,,
George Mason LM,,,,
Samford EG,,,,
Purdue SJ,,,,
Emporia State KS,,,,
Missouri State EG,,,,
Navy LR,,,,
