Aff,Neg,Judge,Result,"Aff								Points","Neg								Points"
Gonzaga HM,Samford EG,David Michael Woodward,Neg,"Molly M																																																												29																																																																												Avalyn H																																																												29","Sawyer E																																																												29																																																																												Maddox G																																																												29"
,Kansas State TT,,Neg BYE,Neg BYE,
Minnesota FM,Cornell LS,Fred Sternhagen,Aff,"Peter M																																																												29																																																																												Jordan F																																																												29","Amber S																																																												29																																																																												Brandon L																																																												29"
Iowa PS,Wichita State BM,Parker Hopkins,Neg,"Robbie P																																																												28																																																																												Jacob S																																																												28","Kayla B																																																												29																																																																												Connor M																																																												29"
Kansas ZL,Liberty CoRo,Hannah Call,Aff,"Miles L																																																												29																																																																												sonya z																																																												29","Morgan C																																																												29																																																																												Natalie R																																																												29"
Georgia MW,George Mason DH,Vida Chiri,Aff,"Daniel W																																																												29																																																																												Jack M																																																												29","Jack D																																																												29																																																																												Richard H																																																												29"
Purdue SJ,Emporia State KS,Brianna Thomas,Aff,"Imaan S																																																												29																																																																												Daniel J																																																												29","Keryk K																																																												29																																																																												Niko S																																																												29"
Navy LR,Minnesota AS,Nick Ryan,Aff,"Will L																																																												28																																																																												Kathleen R																																																												28","Abbie A																																																												28																																																																												Kevin S																																																												28"
Samford GT,Indiana OH,Pablo Gannon,Aff,"Alyssa G																																																												29																																																																												Joey T																																																												29","Janet O																																																												28																																																																												Payton H																																																												28"
Minnesota DH,Missouri State KR,Adam Symonds,Neg,"Syd H																																																												29																																																																												Ryan D																																																												29","Zach K																																																												29																																																																												Peyton R																																																												29"
Wyoming KP,Purdue AS,Jackie Poapst,Aff,"Mack K																																																												28																																																																												Ec P																																																												29","Ari A																																																												28																																																																												Jonathan S																																																												28"
Missouri State EG,Liberty SW,Zach Baker,Aff,"Clayton E																																																												30																																																																												Oliver G																																																												29","Addison W																																																												30																																																																												Rachel S																																																												29"
James Madison HS,Liberty CR,Ryan Wash,Neg,"Ashley H																																																												29																																																																												Aubree S																																																												29","Kat C																																																												29																																																																												Jordan R																																																												29"
Minnesota PS,Pittsburgh OM,Matt Harkins,Neg,"Elise S																																																												29																																																																												Caleb P																																																												28","Kwudjwa O																																																												29																																																																												Christian M																																																												29"
Michigan HS,Central Oklahoma CH,Natalie Bennie,Aff,"Harrison H																																																												29																																																																												Kelly S																																																												29","Grant C																																																												29																																																																												Zach H																																																												29"
Kansas SP,Liberty JD,Ryan Galloway,Aff,"Jet S																																																												29																																																																												Jimin P																																																												29","Amadea D																																																												29																																																																												Sidney J																																																												29"
Liberty WW,George Mason PL,Joey Konrad,Aff,"Ryan W																																																												29																																																																												Justice W																																																												28","Ceili P																																																												28																																																																												Lindsay L																																																												28"
George Mason LM,Southwestern GA,Meagan Wullschleger,Aff,"Ian M																																																												29																																																																												Nicholas L																																																												29","Joaquin A																																																												29																																																																												Khamani G																																																												29"
