Aff,Neg,Judges,Votes,Result
Rutgers-Newark Asafu-Adjaye & hemnarine,Iowa Bennett & Roetlin,"Derek Hilligoss																																		Allie Chase																																		Sean Kennedy																																		David Rooney																																		Tripp Rebrovick","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Rochester Abdulla & Morbeck,Georgia Adam & Weintraub,"Zahir Shaikh																																		Miles Gray																																		Lee Quinn																																		Tom Gliniecki																																		Gabriel Jankovsky","Aff																												Aff																												Aff																												Neg																												Neg","3-2																															AFF"
Michigan Phil & Stras,Cal State Fullerton Burke & White,"Ned Gidley																																		Greg Zoda																																		John Turner																																		Flynn Makuch																																		Brian Rubaie","Aff																												Aff																												Aff																												Neg																												Aff","4-1																															AFF"
Texas Desai & Watts,Emporia State Kuiper & Sims,"Calum Matheson																																		R C																																		James Allan																																		Kenny Delph																																		Elijah Smith","Aff																												Neg																												Aff																												Neg																												Aff","3-2																															AFF"
Southern California Kuffour & Sun,Kansas Butler & Fitzpatrick,"Brianna Thomas																																		Anthony Joseph																																		Shanara Reid-Brinkley																																		Vida Chiri																																		Nicolas Juarez","Aff																												Neg																												Aff																												Aff																												Aff","4-1																															AFF"
Wake Forest Fernandez & Harper,UC Berkeley Bellavita & Wimsatt,"Julia Henry																																		Joey Konrad																																		Shae Bunas																																		Nate Graziano																																		Kevin Clarke","Neg																												Aff																												Aff																												Neg																												Neg","3-2																															NEG"
Emory Giampetruzzi & Kessler,Binghamton Marin & Ahuja,"Andrew Hart																																		Reed Van Schenck																																		Michelle Borbon																																		Dustin Meyers-Levy																																		Kurt Fifelski","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Harvard Aoki & Farronay,Dartmouth Gochee & Safieddine,"Brian DeLong																																		Will Katz																																		Devane Murphy																																		Carlos Astacio																																		Kevin Hirn","Neg																												Neg																												Aff																												Aff																												Aff","3-2																															AFF"
Michigan margolin & Muse,Kansas Revare & Martin,"Mikaela Malsin																																		William Repko																																		Jeff Buntin																																		Theo Noparstak																																		Michael Wimsatt","Neg																												Aff																												Aff																												Aff																												Neg","3-2																															AFF"
Dartmouth Mancini & Shankar,Wake Forest Klein & Marban,"Brandon Kelley																																		Ezra Louvis																																		Harry Aaronson																																		Carly Wunderlich																																		Teja Leburu","Neg																												Neg																												Neg																												Aff																												Aff","3-2																															NEG"
Michigan Pierry & Rabbini,Pittsburgh Mendoza & Osei,"Bee Smale																																		Armands Revelins																																		Josh Lamet																																		Gabriel Morrison																																		Jackie Poapst","Aff																												Aff																												Aff																												Aff																												Aff","5-0																															AFF"
Liberty Wallenmeyer & Wittstock,Dartmouth Tambe & Vergho,"Edward Lee																																		Brett Bricker																																		Anthony Trufanov																																		Patrick Kennedy																																		Viveth Karthikeyan","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
Wake Forest Trotman & Cisse,Emory Pak & Rajagopal,"Matt Liu																																		Dillon Johnson																																		Douglas Husic																																		Ryan Galloway																																		Matthew Moore","Neg																												Neg																												Aff																												Aff																												Neg","3-2																															NEG"
Louisville Bryant & Yeargin,Kentucky Di & Griffith,"Rayvon Dean																																		Martin Osborn																																		Jazmine Pickens																																		Ben Crossan																																		Adam R. Lee","Aff																												Aff																												Aff																												Aff																												Neg","4-1																															AFF"
Wake Forest Bittner & Davidson,Kentucky Eckert & Ivackovic,"Nathan Fleming																																		Alaina Walberg																																		Timothy Byram																																		Will Baker																																		David Kilpatrick","Aff																												Aff																												Neg																												Neg																												Aff","3-2																															AFF"
UC Berkeley Eusterman & Eusterman,Northwestern Fridman & Lowe,"Casey Harrigan																																		Gabriel Morbeck																																		Young Kwon																																		Michael Cerny																																		Bill Smelko","Neg																												Neg																												Neg																												Neg																												Neg","5-0																															NEG"
