Aff,Neg,Judges,Votes,Result
Dartmouth MS,Emory GK,"Anthony Trufanov																																		Dallas Perkins																																		Brandon Kelley","Neg																												Neg																												Neg","3-0																															NEG"
Dartmouth GS,Rutgers-Newark HA,"Ned Gidley																																		Dustin Meyers-Levy																																		Geoff Lundeen","Neg																												Neg																												Neg","3-0																															NEG"
Texas DW,Michigan PR,"Michelle Borbon																																		Ryan Galloway																																		Will Katz","Neg																												Neg																												Neg","3-0																															NEG"
Northwestern FL,Iowa BR,"Jenna Bauer																																		Johnnie Stupek																																		Hunter McCullough","Aff																												Aff																												Aff","3-0																															AFF"
Emory PR,Kansas MR,"Maggie Solice																																		William Repko																																		Aaron Kall","Neg																												Neg																												Neg","3-0																															NEG"
Wake Forest FH,George Mason BG,"Sydney Pasquinelli																																		Sean Kennedy																																		David Kilpatrick","Neg																												Aff																												Aff","2-1																															AFF"
Southern California KS,Minnesota FR,"Tripp Rebrovick																																		Brendon Bankey																																		Caitlin Walrath","Aff																												Aff																												Aff","3-0																															AFF"
Dartmouth PS,Wake Forest KM,"Carly Wunderlich																																		Gabriel Jankovsky																																		Jacob Hegna","Neg																												Neg																												Aff","2-1																															NEG"
Michigan State GS,Kentucky EG,"Miles Gray																																		Michael Wimsatt																																		Brett Bricker","Neg																												Neg																												Neg","3-0																															NEG"
Michigan PS,Wake Forest BD,"Alaina Walberg																																		John Turner																																		Jackie Poapst","Neg																												Neg																												Neg","3-0																															NEG"
Harvard BN,Kansas SM,"Nathan Fleming																																		Young Kwon																																		Mikaela Malsin","Neg																												Neg																												Neg","3-0																															NEG"
Michigan State BK,Trinity GN,"Pablo Gannon																																		Ezra Louvis																																		Teja Leburu","Neg																												Aff																												Neg","2-1																															NEG"
UC Berkeley EE,Harvard AH,"Zahir Shaikh																																		Ron Stevenson																																		Nathan Rothenbaum","Neg																												Aff																												Neg","2-1																															NEG"
Harvard AF,Kansas PO,"Bruce Najor																																		Kevin Hirn																																		Ben Crossan","Neg																												Neg																												Neg","3-0																															NEG"
Kansas BF,West Georgia DS,"Willie Johnson																																		Corey Fisher																																		Amber Kelsie","Aff																												Aff																												Aff","3-0																															AFF"
Dartmouth TV,Samford EG,"Edward Lee																																		Michael Cerny																																		Casey Harrigan","Aff																												Aff																												Aff","3-0																															AFF"
