Aff,Neg,Judges,Votes,Result
Damien DT,Nevada Union GW,"Cade Cottrell																																		Tommye Weddington																																		Arnav Gupta","Neg																												Neg																												Aff","2-1																															NEG"
Damien AD,Lane Tech  NP,"Cat Jacob																																		Steve Rowe																																		Joshua Michael","Aff																												Neg																												Neg","2-1																															NEG"
CK McClatchy BG,Notre Dame AY,"Nate Graziano																																		Madeline Reese																																		Jordan Di","Aff																												Aff																												Aff","3-0																															AFF"
Interlake GQ,Rowland Hall SH,"Chris Paredes																																		Aaron Kall																																		Mac Cronin","Aff																												Aff																												Aff","3-0																															AFF"
Ferris KO,West HS SLC SW,"Carl Jacobsen																																		Jack Daou																																		Dan Stanfield","Aff																												Aff																												Aff","3-0																															AFF"
Peninsula SY,McQueen LR,"Julian Bellavita																																		Miles Owens																																		Carla Ramazan","Neg																												Neg																												Neg","3-0																															NEG"
Notre Dame KS,Lynbrook YD,"Valerie McIntosh																																		Evan Alexis																																		abdus najmi","Aff																												Aff																												Aff","3-0																															AFF"
Peninsula LL,Alpharetta NS,"Tim Freehan																																		Nina Fridman																																		Zachary Lim","Neg																												Neg																												Neg","3-0																															NEG"
CK McClatchy PS,Interlake CC,"Caitlin Walrath																																		Kevin Sun																																		Mike Bausch","Aff																												Neg																												Aff","2-1																															AFF"
Kent Denver CM,Head Royce RK,"Catherine Haus																																		Molly Martin																																		John Shackelford","Neg																												Neg																												Neg","3-0																															NEG"
Niles West BB,Niles West DS,,Niles West BB advances,Niles West BB advances
New Trier RW,,,,
Notre Dame DN,,,,
Interlake CP,,,,
Gunn OS,,,,
Chaminade BK,,,,
