Aff,Neg,Judges,Votes,Result
North Broward Prep DR,Leland LZ,"Parth Shah																																		EC Powers																																		Norma Delgado","Aff																												Aff																												Aff","3-0																															AFF"
Liberal Arts and Science GP,Nevada Union GW,"Joshua Michael																																		Adam Hall																																		Mac Cronin","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  HM,Notre Dame KA,"Kristen Lu																																		H Dylan Willett																																		Mike Bausch","Aff																												Aff																												Aff","3-0																															AFF"
Chaminade AH,Lexington TK,"Tyler Vergho																																		Scott Wheeler																																		Natasha Tieu","Aff																												Aff																												Aff","3-0																															AFF"
Bellarmine  MT,Lexington BY,"Theo Noparstak																																		Marie Stebbings																																		Victoria Yonter","Aff																												Neg																												Neg","2-1																															NEG"
Westminster SB,McQueen LR,"Eric Melin																																		Anthony Winchell																																		Nate Graziano","Aff																												Aff																												Aff","3-0																															AFF"
CK McClatchy BG,West HS SLC GR,"Kiara Pengue																																		Max Reese																																		Sophie Rahman","Neg																												Neg																												Aff","2-1																															NEG"
George Washington HC,Gunn OS,"Ethan Muse																																		Simon Weiss																																		Dan Lingel","Neg																												Neg																												Aff","2-1																															NEG"
Interlake CF,Notre Dame DN,"Anthony Trufanov																																		Javier Hernandez																																		Eleanor Sullivan","Neg																												Aff																												Aff","2-1																															AFF"
St Ignatius AN,Glenbrook South MJ,"Dhruv Sudesh																																		Izak Gallini-Matyas																																		Jonathan Hsu","Aff																												Neg																												Aff","2-1																															AFF"
Archbishop Mitty DR,Interlake GQ,"Sam Gustavson																																		David Sposito																																		Dan Stanfield","Neg																												Neg																												Aff","2-1																															NEG"
Peninsula FP,Peninsula SY,,Peninsula FP advances,Peninsula FP advances
Presentation BS,Cypress Bay LL,"David Kilpatrick																																		Debnil Sur																																		Ria Bhandarkar","Neg																												Neg																												Aff","2-1																															NEG"
Bellarmine  IG,Minneapolis South CC,"Allen Kim																																		Bernard Medeiros																																		Raam Tambe","Neg																												Neg																												Neg","3-0																															NEG"
Coppell KC,Archbishop Mitty PA,"Oskar Tauring-Traxler																																		Jared Burke																																		Maddie Pieropan","Neg																												Neg																												Neg","3-0																															NEG"
CK McClatchy AT,Westwood NY,"Roman Kezios																																		Lawson Hudson																																		Sonya Zin","Aff																												Aff																												Aff","3-0																															AFF"
