Aff,Neg,Judges,Votes,Result
Georgetown Day MW,SWW CE,"Isaac Segal																																		Jorman Antigua																																		Darrian Carroll","Aff																												Aff																												Aff","3-0																															AFF"
Sonoma KP,Oak Park and River Forest RB,"William Smelko																																		Ross Fitzpatrick																																		Nicholas Mancini","Aff																												Aff																												Neg","2-1																															AFF"
Newark Tech TN,St Ignatius AN,"Alaina Walberg																																		Josh Moncure																																		Matt Harkins","Neg																												Aff																												Aff","2-1																															AFF"
Thomas Jefferson HSST HT,Stuyvesant HQ,"William Cheung																																		Chris Jun																																		Kassie Colon","Aff																												Aff																												Neg","2-1																															AFF"
Mamaroneck LS,,,,
Brooklyn Technical BH,,,,
Bronx Science CM,,,,
Thomas Jefferson HSST XD,,,,
SF Roosevelt LT,,,,
Calvert Hall BL,,,,
Stuyvesant NR,,,,
Lexington KT,,,,
Brooklyn Technical SA,,,,
Brooklyn Technical BA,,,,
Bronx Science FV,,,,
Georgetown Day BS,,,,
