Aff,Neg,Judge,Result
Leon Goldstein CS,CR North FP,Zhane Lloyd,Aff
McDonogh RS,Bronx Science SD,Hollis Fox,Aff
Calvert Hall IM,Baltimore City PP,Sean Lavelle,Neg
Calvert Hall BL,Bronx Science FV,Gabriel Ritter,Neg
Stuyvesant LL,Unionville PA,Dara Davis,Aff
Hyattsville Independent MF,Lexington HV,Amanda Pierson,Neg
Oak Park and River Forest RB,Sonoma KP,Brandon Puchowitz,Aff
Newark Tech DW,DuVal SA,Andrew Polli,Aff
Strath Haven MY,SF Roosevelt LT,Carlos Astacio,Neg
McDonogh HW,DuVal NR,Isaac Segal,Aff
Calvert Hall BS,Thomas Jefferson HSST PL,William Cheung,Neg
Lexington IK,Stuyvesant HQ,Robin Forsyth,Neg
Bronx Science PK,Leon Goldstein BM,Emily Qiu,Neg
Bronx Science BT,Edgemont Junior-Senior FP,David Griffith,Aff
Georgetown Day BS,Brooklyn Technical SA,Jorman Antigua,Neg
Thomas Jefferson HSST HT,Mamaroneck TP,Eugene Toth,Aff
Stuyvesant HoCh,,,Aff BYE
Barstow LL,Stuyvesant HN,Emily Chan,Aff
Thomas Jefferson HSST XD,Stuyvesant HC,Lani Frazer,Aff
SWW CE,Barstow BM,Kassie Colon,Aff
Baltimore City DS,St Ignatius CD,Chris Jun,Aff
Brooklyn Technical BA,Georgetown Day MW,Alaina Walberg,Aff
Mamaroneck LS,Stuyvesant NR,Wasim Rahaman,Aff
Thomas Jefferson HSST BY,St Ignatius AN,Michael Lu,Neg
Newark Tech TN,Lexington KT,Daniel Wakefield,Neg
Bronx Science CM,Lexington FR,Ross Fitzpatrick,Aff
Eagan LS,Calvert Hall CS,Spencer Williams,Aff
ADL BT,Brooklyn Technical BH,Rishi Mukherjee,Neg
