Aff,Neg,Judge,Result
Peninsula FP,Berkeley Prep ZK,Jaden Lessnick,Neg
Garfield PT,Maine East PP,Eric Oddo,Neg
Blue Valley Northwest BM,Glenbrook South KK,Oskar Tauring-Traxler,Neg
Westwood YN,Pine Crest ER,Misty Tippets,Neg
Greenhill GR,Damien DT,KJ Reese,Aff
Chaminade AH,North Broward Prep DR,Colton Gilbert,Neg
Lexington BY,James Logan BM,Sam Gustavson,Aff
Interlake CaPa,CK McClatchy BG,Margaret Strong,Neg
Bronx Science FV,Mamaroneck PL,Jon Voss,Neg
Mamaroneck RM,Northside  RS,Aasiyah Bhaiji,Aff
Bellarmine  HM,Mamaroneck BO,Kevin Hamrick,Aff
Niles West BB,Washburn Rural PW,Eleanor Sullivan,Neg
Gunn OS,Little Rock Central LP,Alex Sherman,Aff
Coppell KC,Bellarmine  IG,Debnil Sur,Aff
Westminster YL,Blue Valley Northwest RY,Daniel Wakefield,Aff
Glenbrook North BM,Alpharetta SN,Maggie Wells,Aff
Bronx Science CM,Montgomery Bell PC,David Kilpatrick,Neg
Minneapolis South CC,Peninsula RW,Lily Ottinger,Neg
Montgomery Bell MP,Westminster SB,Dylan Goldberg,Aff
Notre Dame DN,Nevada Union GW,Matt Cekanor,Neg
Little Rock Central GR,Lexington TK,Cade Cottrell,Aff
Georgetown Day LB,New Trier HM,Tim Lewis,Neg
Presentation BS,Archbishop Mitty PA,Parker Coon,Neg
Mamaroneck LS,Ferris CM,Caitlin Walrath,Aff
Walter Payton MW,Northview AI,Brian Rubaie,Aff
Berkeley Prep SS,Kent Denver MC,Alaina Walberg,Aff
Greenhill FS,Valley International Prep AU,Jackson Eckel,Neg
Head-Royce KR,Lowell ST,Donny Peters,Aff
Lawrence Free State MR,Bellarmine  MT,Raam Tambe,Aff
Caddo Magnet KL,Westminster BW,Jack Ding,Aff
SF Roosevelt LT,Interlake GQ,Ramis Banuri,Aff
Mamaroneck DR,Interlake CP,Thomas Pacheco,Aff
Montgomery Bell GY,Edina AA,Magi Ortiz,Neg
Northside  DS,Georgetown Day SB,Will Halverson,Aff
Calvert Hall BL,Georgetown Day MW,Greg Zoda,Aff
Barstow BM,Westside KS,Yao Yao Chen,Aff
Glenbrook South MJ,Eagan LS,David Sposito,Aff
Montgomery Bell HM,Liberal Arts and Science MC,Anirudh Prabhu,Neg
Liberal Arts and Science BR,New Trier RW,Tim Ellis,Neg
New Trier JW,Cypress Bay LL,Theo Noparstak,Aff
Liberal Arts and Science HW,Taipei American BW,Larry Dang,Aff
Glenbrook North BG,Bellarmine  FU,Peter Susko,Aff
Lane Tech NP,Meadows HY,Nishad Neelakandan,Neg
Liberal Arts and Science GP,West HS SLC GR,Abe Corrigan,Neg
North Broward Prep GG,Oak Park and River Forest SR,Brandon Stras,Aff
