Aff,Neg,Judges,Votes,Result
Liberal Arts and Science BR,Crossings Christian HK,"Kevin Hirn																																		Joshua Martin																																		Sonny Patel","Aff																												Aff																												Aff","3-0																															AFF"
Glenbrook North BC,Westminster BW,"Shivan Moodley																																		Dhruv Sudesh																																		Jimin Park","Neg																												Aff																												Aff","2-1																															AFF"
McQueen RL,Lexington SY,"Geoff Lundeen																																		Misty Tippets																																		Matt Harkins","Aff																												Aff																												Neg","2-1																															AFF"
Westminster KY,Peninsula RW,"Chris Paredes																																		Kevin McCaffrey																																		Brandon Stras","Neg																												Aff																												Neg","2-1																															NEG"
Glenbrook North KS,Strath Haven RY,"Matt Munday																																		Talia Blatt																																		Gabriel Esquivel Yglesias","Neg																												Neg																												Neg","3-0																															NEG"
Kansas City Independent BM,Univ Of Chicago Lab KP,"Atticus Glen																																		Jackson Hoffmann																																		Tristan Bato","Aff																												Aff																												Aff","3-0																															AFF"
Alpharetta SN,CK McClatchy AT,"Mason Marriott-Voss																																		Debayan Sen																																		Ali Abdulla","Neg																												Neg																												Aff","2-1																															NEG"
Cambridge HS RM,Mamaroneck BO,"Ross Fitzpatrick																																		April Ma																																		Maddox Gates","Neg																												Neg																												Aff","2-1																															NEG"
Mamaroneck LS,Montgomery Bell MH,"Kalen McCain																																		Eric Forslund																																		Zach Adam","Aff																												Neg																												Neg","2-1																															NEG"
Alpharetta JM,Shark RW,"Joshua Gonzalez																																		Scott Wheeler																																		Tim Freehan","Neg																												Neg																												Neg","3-0																															NEG"
Berkeley Prep SS,St Ignatius NA,"Giorgio Rabbini																																		Jorman Antigua																																		Valorie Lam","Neg																												Neg																												Neg","3-0																															NEG"
Mamaroneck DR,Archbishop Mitty KB,"Kevin Sun																																		Tara Bhagat																																		Ansh Khullar","Aff																												Neg																												Aff","2-1																															AFF"
Stuyvesant HC,Iowa City West LS,"Izak Gallini-Matyas																																		Daniel Ardity																																		Mac Cronin","Neg																												Neg																												Neg","3-0																															NEG"
Stuyvesant NR,Montgomery Bell PC,"Whit Whitmore																																		Andrew Pak																																		Flynn Makuch","Neg																												Neg																												Neg","3-0																															NEG"
Kansas City Independent LW,Lexington TK,"Rafael Pierry																																		Raffi Piliero																																		Larry Dang","Aff																												Neg																												Aff","2-1																															AFF"
Head Royce KR,Glenbrook North BM,"Grace Kessler																																		Adam Lipton																																		Julian Kuffour","Neg																												Aff																												Neg","2-1																															NEG"
Calvert Hall BL,Archbishop Mitty DR,"Colton Gilbert																																		Ana Bittner																																		Catherine Haus","Neg																												Aff																												Neg","2-1																															NEG"
Minneapolis South CC,,,,
Little Rock Central GR,,,,
Little Rock Central LR,,,,
Peninsula FP,,,,
Damien DT,,,,
Caddo Magnet LK,,,,
Peninsula MS,,,,
Westminster MP,,,,
Westminster YL,,,,
Stuyvesant HQ,,,,
North Broward Prep DR,,,,
North Broward Prep GG,,,,
Edina AA,,,,
CK McClatchy PS,,,,
Berkeley Prep KZ,,,,
