Aff,Neg,Judges,Votes,Result
Walter Payton MW,Edina OM,"Kevin McCaffrey																																		Wayne Tang																																		KJ Reese","Aff																												Aff																												Aff","3-0																															AFF"
Lexington RF,Glenbrook North WY,"David Griffith																																		Jack Ding																																		keryk kuiper","Aff																												Aff																												Aff","3-0																															AFF"
Univ Of Chicago Lab KN,Glenbrook South KK,"Scott Krueger																																		Allegro Wang																																		Saif Salim","Aff																												Neg																												Neg","2-1																															NEG"
Glenbrook North BG,Glenbrook North KS,,Glenbrook North BG advances,Glenbrook North BG advances
West HS SLC GR,Lexington YS,"Stephen Lowe																																		Theo Noparstak																																		Alan ivackovic","Aff																												Aff																												Aff","3-0																															AFF"
Cypress Bay LR,Niles West SD,"Alex Pinheiro																																		Nina Fridman																																		Genevieve Hackman","Aff																												Neg																												Aff","2-1																															AFF"
Iowa City West LB,Lane Tech  NP,"David Coates																																		Valerie McIntosh																																		Rachel Baumann","Neg																												Neg																												Neg","3-0																															NEG"
Homestead PL,Maine East VB,"Alyssa Corrigan																																		Ryan Cavanaugh																																		Elijah Reisman","Aff																												Neg																												Aff","2-1																															AFF"
Bronx Science DS,Univ Of Chicago Lab KO,"Walter Lindwall																																		Chris Jun																																		Dimarvin Puerto","Neg																												Aff																												Aff","2-1																															AFF"
New Trier RW,,,,
Northside  RS,,,,
Eagan LS,,,,
Edina AA,,,,
Oak Park and River Forest SR,,,,
Northside  DS,,,,
Niles West BB,,,,
