Aff,Neg,Judges,Votes,Result
Jesuit MR,Jesuit SW,,Jesuit MR advances,Jesuit MR advances
Blue Valley North TU,Lowell ST,"Jimin Park																																		Allie Chase																																		Natasha Tieu","Aff																												Aff																												Aff","3-0																															AFF"
Little Rock Central RL,Blue Valley Northwest BM,"Dave Devavrat																																		Kristiana Baez																																		Azja Butler","Aff																												Neg																												Aff","2-1																															AFF"
Damien AD,Blue Valley Northwest RY,"Rafael Sanchez																																		Carl Jacobsen																																		Larry Dang","Aff																												Aff																												Neg","2-1																															AFF"
Notre Dame AY,Washburn Rural PW,"Maddie Pieropan																																		Mike Shackelford																																		Johnnie Stupek","Neg																												Neg																												Neg","3-0																															NEG"
Lansing AS,Kamiak XH,"Tim Ellis																																		Ryan McFarland																																		Ethan Muse","Neg																												Neg																												Neg","3-0																															NEG"
Peninsula LL,Little Rock Central RG,"Debnil Sur																																		Cade Cottrell																																		Lauren Pepper","Neg																												Neg																												Aff","2-1																															NEG"
Reagan AG,,,,
Head Royce KR,,,,
Notre Dame KS,,,,
Notre Dame DN,,,,
Coppell KC,,,,
Lawrence Free State HB,,,,
SF Roosevelt LT,,,,
Meadows HY,,,,
Blue Valley West DA,,,,
