Aff,Neg,Judges,Votes,Result
Overland Park North Independent TU,Archbishop Mitty DR,"Kegan Ferguson																																		David Sposito																																		Nishanth Asokan","Neg																												Neg																												Neg","3-0																															NEG"
Bronx Science FV,Calvert Hall CS,"Adegoke Fakorede																																		Andrew Zhang																																		Sydney Pasquinelli","Neg																												Aff																												Aff","2-1																															AFF"
Bronx Science CE,North Broward Prep GN,"Jorman Antigua																																		Josh Gavsie																																		Jackie Poapst","Aff																												Aff																												Neg","2-1																															AFF"
Mamaroneck LR,Sacramento Urban Debate League GM,"Kevin Sun																																		Luke Hartman																																		Lauren McBlain","Neg																												Aff																												Neg","2-1																															NEG"
Interlake Independent CP,St George's DR,"Talia Blatt																																		Alex Pinheiro																																		Catherine Haus","Neg																												Neg																												Aff","2-1																															NEG"
Lane Tech NP,Mamaroneck DT,"KJ Reese																																		Patrick McCleary																																		Gerard Grigsby","Aff																												Neg																												Aff","2-1																															AFF"
Ferris OK,Berkeley Prep SS,"H Dylan Willett																																		Brianna Thomas																																		jazmine pickens","Aff																												Aff																												Neg","2-1																															AFF"
Mamaroneck DK,Lexington HV,"Spencer Williams																																		Anthony Trufanov																																		Molly Martin","Aff																												Aff																												Neg","2-1																															AFF"
Plano Independent PD,Mamaroneck RS,"Oskar Tauring-Traxler																																		Arnav Gupta																																		Eleanor Mendelson","Neg																												Aff																												Neg","2-1																															NEG"
Bronx Science DS,"Young Genius, Bay Area CB","Jonathan Alston																																		Magi Ortiz																																		Ramis Banuri","Aff																												Aff																												Aff","3-0																															AFF"
Mamaroneck BO,,,,
Ferris MC,,,,
Shark RW,,,,
Lexington YS,,,,
Mamaroneck LP,,,,
Bronx Science CM,,,,
