Aff,Neg,Judges,Votes,Result
Peninsula LL,Brooklyn Technical SD,"Larry Dang																																		Michael Hellie																																		Carolyn Ky","Neg																												Neg																												Neg","3-0																															NEG"
Northside  KW,Rowland Hall LA,"Anthony Winchell																																		Joseph Tierney																																		Brian Kong","Aff																												Aff																												Aff","3-0																															AFF"
Stuyvesant HC,Pine Crest ER,"Jerry Yang																																		Andrew Lopez																																		Henry Khadka","Aff																												Neg																												Aff","2-1																															AFF"
Bronx Science CE,Georgetown Day BS,"Isaac Segal																																		Zhane Lloyd																																		Dilon Nguyen","Neg																												Neg																												Neg","3-0																															NEG"
Casady WN,Walter Payton WM,"Magi Ortiz																																		Jack Ding																																		Kathryn Pham","Neg																												Neg																												Neg","3-0																															NEG"
Liberal Arts and Science BR,Mamaroneck OB,"Talia Blatt																																		David Cai																																		KJ Reese","Aff																												Aff																												Neg","2-1																															AFF"
Univ Of Chicago Lab KO,Northview AI,"Kevin Sun																																		Robin Forsyth																																		Alex Sherman","Neg																												Aff																												Aff","2-1																															AFF"
McDonogh JT,Berkeley Prep ShSo,"Eugene Toth																																		Queen LouAllen																																		Jorman Antigua","Neg																												Neg																												Neg","3-0																															NEG"
Northside  RS,Cypress Bay KF,"Simon Weiss																																		Henry Mitchell																																		Dylan Goldberg","Aff																												Aff																												Aff","3-0																															AFF"
Georgetown Day BL,Mamaroneck LP,"Justin Hsu																																		Caroline Li																																		Greg Zoda","Aff																												Neg																												Neg","2-1																															NEG"
North Broward Prep DR,,,,
Mamaroneck RM,,,,
Mamaroneck DR,,,,
Bronx Science CM,,,,
Peninsula FR,,,,
Stuyvesant NR,Stuyvesant QH,,Stuyvesant NR advances,Stuyvesant NR advances
