Aff,Neg,Judges,Votes,Result
Caddo Magnet KL,Eagan LS,"Tyler Vergho																																		David Griffith																																		Ethan Muse","Neg																												Aff																												Aff","2-1																															AFF"
North Broward Prep DR,Pine Crest ER,"H Dylan Willett																																		Izak Gallini-Matyas																																		Harrison Hall","Neg																												Aff																												Neg","2-1																															NEG"
Westminster SB,Garfield PT,"Maggie Wells																																		Michael Scott																																		Brandon Stras","Aff																												Aff																												Aff","3-0																															AFF"
Westwood CH,Northview IA,"Misty Tippets																																		Azja Butler																																		Soundjata Sharod","Neg																												Neg																												Neg","3-0																															NEG"
Northside  DR,Liberal Arts and Science MC,"Brad Meloche																																		jeremy margolin																																		KJ Reese","Aff																												Aff																												Aff","3-0																															AFF"
Westminster YL,Glenbrook North BG,"Dylan Goldberg																																		Jordan Di																																		Jeff Buntin","Aff																												Aff																												Aff","3-0																															AFF"
New Trier HM,Barstow BM,"Stephen Pipkin																																		Ansh Khullar																																		Brett Bricker","Aff																												Aff																												Aff","3-0																															AFF"
Glenbrook North BC,Mamaroneck MR,"Austen Yorko																																		Zidao Wang																																		Kelly Phil","Aff																												Neg																												Neg","2-1																															NEG"
Little Rock Central RG,Casady BH,"David Kilpatrick																																		Vishak Bandi																																		Alex Sherman","Aff																												Aff																												Aff","3-0																															AFF"
Walter Payton HP,Calvert Hall BL,"Anthony Trufanov																																		Tim Freehan																																		Giorgio Rabbini","Aff																												Neg																												Neg","2-1																															NEG"
New Trier JW,Bronx Science MS,"Taylor Brough																																		Lincoln Garrett																																		Timothy Edstrom","Neg																												Aff																												Aff","2-1																															AFF"
McQueen LR,Berkeley Prep KZ,"Aidan Kane																																		Gershom Chan																																		nikki karavidas","Neg																												Neg																												Neg","3-0																															NEG"
West HS SLC GR,North Broward Prep GG,"Stephen Lowe																																		Kelly Skoulikaris																																		thomas Vance","Aff																												Aff																												Aff","3-0																															AFF"
SF Roosevelt LT,Bellarmine  IG,"Carlos Henry Sr.																																		Greg Zoda																																		Josie Ewing","Neg																												Aff																												Neg","2-1																															NEG"
Montgomery Bell MP,Coppell CK,"Brian Klarman																																		Bennett McGraw																																		Rafael Pierry","Aff																												Neg																												Aff","2-1																															AFF"
Maine East PP,Glenbrook North BM,"Matt Munday																																		Magi Ortiz																																		Jake Lee","Neg																												Neg																												Aff","2-1																															NEG"
