Aff,Neg,Judge,Result
Presentation BS,West HS SLC GR,Aidan Kane,Neg
Oak Hall ZG,Pace SY,Jack Moore,Aff
Montgomery Bell MH,Lawrence Free State MR,Joshua Gonzalez,Neg
Washburn Rural PW,Georgetown Day MW,Joshua Michael,Neg
Little Rock Central LP,Chaminade AH,Anirudh Prabhu,Aff
Peninsula FP,Notre Dame DN,Grace Kessler,Aff
Damien AD,Maine East PP,Christina Phillips,Neg
Univ Of Chicago Lab KO,Taipei American WB,Ayla Kaufman,Neg
McDonogh MW,Bellarmine  IG,Kelly Thompson,Neg
Lawrence Free State WR,Maine East TS,Abe Corrigan,Aff
Unionville PW,Montgomery Bell GY,Magi Ortiz,Neg
Glenbrook South KK,Glenbrook North BM,Eugenia Giampetruzzi,Neg
Presentation DR,Jesuit BJ,Vishak Bandi,Aff
Niles North BG,Westminster BW,Tim Ellis,Neg
Westwood NY,Jesuit MR,Erik Mathis,Neg
Westminster SB,Caddo Magnet KL,Dhruv Sudesh,Aff
Univ Of Chicago Lab NB,Bronx Science CM,Parth Shah,Neg
Northside  RS,Liberal Arts and Science GP,Kevin McCaffrey,Aff
Solorio RR,Oak Hall CD,Ashton Smith,Aff
Bellarmine  HM,CK McClatchy GT,Donny Peters,Neg
Westwood CH,Niles West BB,Cody Morrow,Neg
North Broward Prep GG,Glenbrook North BG,Kasi McCartney,Neg
Mamaroneck LP,Niles West DS,Scott Wheeler,Neg
Calvert Hall BL,Coppell KC,Shree Awsare,Neg
Damien TD,Taipei American WL,Conor Cameron,Aff
L C Anderson KL,Washburn Rural DJ,Maggie Wells,Aff
Berkeley Prep ShSo,Little Rock Central GR,Andrew Lopez,Neg
Notre Dame GP,West HS SLC LM,Dan Stanfield,Neg
Liberal Arts and Science HW,Peninsula RW,Tim Freehan,Neg
Glenbrook South JM,St Mark's School of Texas YC,Wayne Tang,Neg
Berkeley Prep KZ,Mamaroneck DR,Mason Marriott-Voss,Aff
