Aff,Neg,Judges,Votes,Result
Westminster KY,Decatur/Rockdale County SG,"Suchetas Bokil																																		David Heidt																																		aden barton","Aff																												Neg																												Aff","2-1																															AFF"
Montgomery Bell PC,,,,
Carrollton School of the Sacred Heart AA,,,,
Woodward TG,,,,
Lane Tech NP,,,,
Cypress Bay LK,,,,
Alpharetta MJ,,,,
Cambridge HS SS,,,,
Westminster BW,,,,
Montgomery Bell MH,,,,
Alpharetta SN,,,,
Woodward HC,,,,
Alpharetta NT,,,,
Shark RW,,,,
Oak Park and River Forest SR,,,,
Decatur KV,,,,
