Aff,Neg,Judge,Result
Lexington TK,Westminster SB,Oskar Tauring-Traxler,Neg
Bellarmine  IG,Mamaroneck RM,Kevin Hamrick,Aff
North Broward Prep DR,CK McClatchy BG,Ian Partman,Aff
Walter Payton MW,Gunn OS,Grace Kessler,Neg
Lawrence Free State MR,Bronx Science CM,Debnil Sur,Aff
Mamaroneck BO,James Logan BM,Cade Cottrell,Neg
Meadows HY,Glenbrook South MJ,Sydney Pasquinelli,Neg
North Broward Prep GG,Niles West BB,Kelly Skoulikaris,Aff
Ferris CM,Westminster YL,David Kilpatrick,Aff
Glenbrook North BG,Washburn Rural PW,Austen Yorko,Aff
Greenhill FS,Peninsula RW,Nina Fridman,Neg
Bellarmine  HM,Mamaroneck PL,Eugenia Giampetruzzi,Aff
Interlake CaPa,Pine Crest ER,Dustin Meyers-Levy,Neg
Northside  RS,Eagan LS,Tyler Vergho,Aff
Lowell ST,Westside KS,Nate Graziano,Aff
Presentation BS,Northview AI,Molly Martin,Neg
Mamaroneck DR,Liberal Arts and Science BR,Maddie Pieropan,Neg
Berkeley Prep SS,Oak Park and River Forest SR,Zaki Mansoor,Neg
Cypress Bay LL,Glenbrook South KK,Ashton Smith,Neg
Montgomery Bell PC,New Trier JW,Christopher Fry,Neg
Westminster BW,Lane Tech NP,Rosie Valdez,Aff
Taipei American BW,Georgetown Day LB,Eric Schwerdtfeger,Neg
Bellarmine  FU,Peninsula FP,Jack Ding,Neg
Liberal Arts and Science MC,New Trier RW,Theo Noparstak,Neg
Greenhill GR,Nevada Union GW,Caitlin Walrath,Neg
Valley International Prep AU,Edina AA,Brian Rubaie,Aff
Liberal Arts and Science GP,Head-Royce KR,Aidan Kane,Aff
Damien DT,Alpharetta SN,Josh Clark,Neg
Lexington BY,West HS SLC GR,Malcolm Gordon,Neg
Archbishop Mitty PA,New Trier HM,Anirudh Prabhu,Aff
Montgomery Bell MP,Caddo Magnet KL,Raina Peter,Aff
Bellarmine  MT,SF Roosevelt LT,Rishi Mukherjee,Aff
Chaminade AH,Bronx Science FV,Bernard Medeiros,Aff
Northside  DS,Berkeley Prep ZK,KJ Reese,Aff
Maine East PP,Calvert Hall BL,Christina Phillips,Aff
Montgomery Bell GY,Georgetown Day MW,Daniel Wakefield,Neg
Liberal Arts and Science HW,Barstow BM,Abe Corrigan,Neg
Coppell KC,Minneapolis South CC,Darcell Brown,Aff
Mamaroneck LS,Interlake GQ,Peter Susko,Neg
Little Rock Central GR,Glenbrook North BM,Gershom Chan,Aff
Little Rock Central LP,Blue Valley Northwest RY,Brianna Aaron,Aff
Georgetown Day SB,Montgomery Bell HM,Gordon Kochman,Aff
Notre Dame DN,Kent Denver MC,Nick Lepp,Neg
Westwood YN,Blue Valley Northwest BM,Alaina Walberg,Aff
Garfield PT,Interlake CP,Kenny Delph,Aff
