Aff,Neg,Judges,Votes,Result
Archbishop Mitty DR,Minneapolis South CC,"Mason Marriott-Voss																																		Ana Bittner																																		Julian Kuffour","Neg																												Neg																												Neg","3-0																															NEG"
Glenbrook North BM,Westminster MP,"Kevin Sun																																		Jimin Park																																		Timothy Ellis","Neg																												Neg																												Neg","3-0																															NEG"
Kansas City Independent LW,Westminster YL,"Kevin McCaffrey																																		Raffi Piliero																																		Brandon Stras","Neg																												Neg																												Aff","2-1																															NEG"
Montgomery Bell PC,Stuyvesant HQ,"Kevin Hirn																																		Scott Wheeler																																		Ali Abdulla","Neg																												Aff																												Neg","2-1																															NEG"
North Broward Prep DR,Iowa City West LS,"Aidan Kane																																		Izak Gallini-Matyas																																		Mac Cronin","Aff																												Aff																												Aff","3-0																															AFF"
North Broward Prep GG,Mamaroneck DR,"Eugenia Giampetruzzi																																		Zach Adam																																		Catherine Haus","Aff																												Neg																												Neg","2-1																															NEG"
St Ignatius NA,Edina AA,"Joshua Gonzalez																																		Cody Morrow																																		Tommye Weddington","Neg																												Aff																												Neg","2-1																															NEG"
Shark RW,CK McClatchy PS,"Whit Whitmore																																		Victoria Yonter																																		Ansh Khullar","Neg																												Neg																												Aff","2-1																															NEG"
Berkeley Prep KZ,Montgomery Bell MH,"Josh Moncure																																		Cat Jacob																																		Flynn Makuch","Aff																												Aff																												Aff","3-0																															AFF"
Mamaroneck BO,Little Rock Central GR,"Dan Stanfield																																		Debayan Sen																																		Robert Whitaker","Neg																												Neg																												Neg","3-0																															NEG"
CK McClatchy AT,Little Rock Central LR,"Misty Tippets																																		Brianna Aaron																																		Robin Forsyth","Neg																												Neg																												Neg","3-0																															NEG"
Peninsula FP,Kansas City Independent BM,"Geoff Lundeen																																		Tristan Bato																																		Grace Kessler","Aff																												Aff																												Aff","3-0																															AFF"
Damien DT,Strath Haven RY,"Matt Munday																																		Dhruv Sudesh																																		Tim Freehan","Neg																												Aff																												Aff","2-1																															AFF"
Caddo Magnet LK,Peninsula RW,"Giorgio Rabbini																																		Rafael Pierry																																		Joshua Martin","Aff																												Aff																												Aff","3-0																															AFF"
Peninsula MS,McQueen RL,"Atticus Glen																																		April Ma																																		Simon Weiss","Neg																												Neg																												Aff","2-1																															NEG"
Liberal Arts and Science BR,Glenbrook North BC,"Eric Forslund																																		Jackson Hoffmann																																		Lily Ottinger","Neg																												Neg																												Neg","3-0																															NEG"
